"Model","Mean_Accuracy","Drift_Count","Batch","most_important"
"HDDM_A","    0.7254673","10",10,"nswprice"
"HDDM_W","    0.7254673","10",10,"nswprice"
"KSWIN","    0.7254673","10",10,"nswprice"
"PageHinkley","    0.7214607","9",10,"nswprice"
"DDM","    0.7254673","10",10,"nswprice"
"EDDM","    0.7254673","10",10,"nswprice"
"PDD","    0.7252687","1",10,"nswprice"
"Base Test","    0.7954997","0",10,"nswprice"
"Base Train","    0.8263676","0",10,"nswprice"
"batch sizes","12083.0000000","3021",10,"nswprice"
"HDDM_A","   0.7408734","20",20,"nswprice"
"HDDM_W","   0.7408734","20",20,"nswprice"
"KSWIN","   0.7408734","20",20,"nswprice"
"PageHinkley","   0.7417481","15",20,"nswprice"
"DDM","   0.7408734","20",20,"nswprice"
"EDDM","   0.7408734","20",20,"nswprice"
"PDD","   0.7391925","1",20,"nswprice"
"Base Test","   0.8649394","0",20,"nswprice"
"Base Train","   0.8238378","0",20,"nswprice"
"batch sizes","7249.0000000","1813",20,"nswprice"
"HDDM_A","   0.7449803","30",30,"nswprice"
"HDDM_W","   0.7449803","30",30,"nswprice"
"KSWIN","   0.7449803","30",30,"nswprice"
"PageHinkley","   0.7502272","16",30,"nswprice"
"DDM","   0.7449803","30",30,"nswprice"
"EDDM","   0.7449803","30",30,"nswprice"
"PDD","   0.7428713","5",30,"nswprice"
"Base Test","   0.8024691","0",30,"nswprice"
"Base Train","   0.8315952","0",30,"nswprice"
"batch sizes","5178.0000000","1295",30,"nswprice"
