"Model","Mean_Accuracy","Drift_Count","Batch","most_important"
"HDDM_A","    0.6982657","10",10,"nswprice"
"HDDM_W","    0.6982657","10",10,"nswprice"
"KSWIN","    0.6982657","10",10,"nswprice"
"PageHinkley","    0.6982657","10",10,"nswprice"
"DDM","    0.6982657","10",10,"nswprice"
"EDDM","    0.6982657","10",10,"nswprice"
"PDD","    0.6740020","8",10,"nswprice"
"Base Test","    0.8153541","0",10,"nswprice"
"Base Train","    0.8199950","0",10,"nswprice"
"batch sizes","12083.0000000","3021",10,"nswprice"
"HDDM_A","   0.6836141","20",20,"nswprice"
"HDDM_W","   0.6836141","20",20,"nswprice"
"KSWIN","   0.6836141","20",20,"nswprice"
"PageHinkley","   0.7341737","13",20,"nswprice"
"DDM","   0.6836141","20",20,"nswprice"
"EDDM","   0.6836141","20",20,"nswprice"
"PDD","   0.7349473","4",20,"nswprice"
"Base Test","   0.8042999","0",20,"nswprice"
"Base Train","   0.8081115","0",20,"nswprice"
"batch sizes","7249.0000000","1813",20,"nswprice"
"HDDM_A","   0.7099317","30",30,"nswprice"
"HDDM_W","   0.7099317","30",30,"nswprice"
"KSWIN","   0.7099317","30",30,"nswprice"
"PageHinkley","   0.7390381","16",30,"nswprice"
"DDM","   0.7099317","30",30,"nswprice"
"EDDM","   0.7099317","30",30,"nswprice"
"PDD","   0.7401706","12",30,"nswprice"
"Base Test","   0.8155864","0",30,"nswprice"
"Base Train","   0.8188490","0",30,"nswprice"
"batch sizes","5178.0000000","1295",30,"nswprice"
