"Model","Mean_Accuracy","Drift_Count","Batch","most_important"
"HDDM_A","   0.8661648","1",10,"feature_1"
"HDDM_W","   0.8376629","1",10,"feature_1"
"KSWIN","   0.8639125","9",10,"feature_1"
"PageHinkley","   0.8648479","0",10,"feature_1"
"DDM","   0.8648479","0",10,"feature_1"
"EDDM","   0.8648479","0",10,"feature_1"
"PDD","   0.8648479","0",10,"feature_1"
"Base Test","   0.6164794","0",10,"feature_1"
"Base Train","   0.7319955","0",10,"feature_1"
"batch sizes","5332.0000000","1334",10,"feature_1"
"HDDM_A","   0.8204031","2",20,"feature_1"
"HDDM_W","   0.8455502","3",20,"feature_1"
"KSWIN","   0.8458475","13",20,"feature_1"
"PageHinkley","   0.8186790","1",20,"feature_1"
"DDM","   0.8070864","1",20,"feature_1"
"EDDM","   0.8484632","13",20,"feature_1"
"PDD","   0.6468700","1",20,"feature_1"
"Base Test","   0.6716604","0",20,"feature_1"
"Base Train","   0.7121875","0",20,"feature_1"
"batch sizes","3200.0000000","800",20,"feature_1"
"HDDM_A","   0.7568473","3",30,"feature_1"
"HDDM_W","   0.8152498","4",30,"feature_1"
"KSWIN","   0.8285092","18",30,"feature_1"
"PageHinkley","   0.7454572","2",30,"feature_1"
"DDM","   0.7454572","2",30,"feature_1"
"EDDM","   0.8347676","5",30,"feature_1"
"PDD","   0.5219424","0",30,"feature_1"
"Base Test","   0.5113438","0",30,"feature_1"
"Base Train","   0.7579869","0",30,"feature_1"
"batch sizes","2285.0000000","572",30,"feature_1"
