"Model","Mean_Accuracy","Drift_Count","Batch","most_important"
"HDDM_A","   0.7834232","0",10,"feature_1"
"HDDM_W","   0.7794352","2",10,"feature_1"
"KSWIN","   0.8208285","10",10,"feature_1"
"PageHinkley","   0.7834232","0",10,"feature_1"
"DDM","   0.7834232","0",10,"feature_1"
"EDDM","   0.7834232","0",10,"feature_1"
"PDD","   0.7831229","1",10,"feature_1"
"Base Test","   0.6524345","0",10,"feature_1"
"Base Train","   0.9992498","0",10,"feature_1"
"batch sizes","5332.0000000","1334",10,"feature_1"
"HDDM_A","   0.6809345","1",20,"feature_1"
"HDDM_W","   0.7615481","3",20,"feature_1"
"KSWIN","   0.8122585","16",20,"feature_1"
"PageHinkley","   0.7033470","1",20,"feature_1"
"DDM","   0.7297426","3",20,"feature_1"
"EDDM","   0.8066108","16",20,"feature_1"
"PDD","   0.7323584","4",20,"feature_1"
"Base Test","   0.6691635","0",20,"feature_1"
"Base Train","   0.9984375","0",20,"feature_1"
"batch sizes","3200.0000000","800",20,"feature_1"
"HDDM_A","   0.6266639","1",30,"feature_1"
"HDDM_W","   0.7528092","6",30,"feature_1"
"KSWIN","   0.7943437","22",30,"feature_1"
"PageHinkley","   0.6266639","1",30,"feature_1"
"DDM","   0.6266639","1",30,"feature_1"
"EDDM","   0.7480877","5",30,"feature_1"
"PDD","   0.5098774","0",30,"feature_1"
"Base Test","   0.4799302","0",30,"feature_1"
"Base Train","   0.9978118","0",30,"feature_1"
"batch sizes","2285.0000000","572",30,"feature_1"
