"Model","Mean_Accuracy","Drift_Count","Batch","most_important"
"HDDM_A","   0.7735927","5",10,"attribute1"
"HDDM_W","   0.7735944","7",10,"attribute1"
"KSWIN","   0.7754929","10",10,"attribute1"
"PageHinkley","   0.7707049","3",10,"attribute1"
"DDM","   0.7716114","4",10,"attribute1"
"EDDM","   0.7754929","10",10,"attribute1"
"PDD","   0.7649272","0",10,"attribute1"
"Base Test","   0.7747525","0",10,"attribute1"
"Base Train","   0.7998761","0",10,"attribute1"
"batch sizes","4842.0000000","1211",10,"attribute1"
"HDDM_A","   0.7696360","7",20,"attribute4"
"HDDM_W","   0.7712156","12",20,"attribute4"
"KSWIN","   0.7755471","20",20,"attribute4"
"PageHinkley","   0.7680459","3",20,"attribute4"
"DDM","   0.7746462","10",20,"attribute4"
"EDDM","   0.7755471","20",20,"attribute4"
"PDD","   0.7694195","2",20,"attribute4"
"Base Test","   0.8118132","0",20,"attribute4"
"Base Train","   0.8040634","0",20,"attribute4"
"batch sizes","2904.0000000","727",20,"attribute4"
"HDDM_A","   0.7776842","3",30,"attribute1"
"HDDM_W","   0.7798662","12",30,"attribute1"
"KSWIN","   0.7787765","27",30,"attribute1"
"PageHinkley","   0.7791636","3",30,"attribute1"
"DDM","   0.7715273","10",30,"attribute1"
"EDDM","   0.7780054","30",30,"attribute1"
"PDD","   0.7708209","0",30,"attribute1"
"Base Test","   0.8173077","0",30,"attribute1"
"Base Train","   0.8014458","0",30,"attribute1"
"batch sizes","2075.0000000","519",30,"attribute1"
