"Model","Mean_Accuracy","Drift_Count","Batch","most_important"
"HDDM_A","   0.7802838","1",10,"attribute2"
"HDDM_W","   0.7868033","4",10,"attribute2"
"KSWIN","   0.7898526","10",10,"attribute2"
"PageHinkley","   0.7835833","2",10,"attribute2"
"DDM","   0.7802838","1",10,"attribute2"
"EDDM","   0.7898526","10",10,"attribute2"
"PDD","   0.7879601","7",10,"attribute2"
"Base Test","   0.7731023","0",10,"attribute2"
"Base Train","   0.9997935","0",10,"attribute2"
"batch sizes","4842.0000000","1211",10,"attribute2"
"HDDM_A","   0.7783025","4",20,"attribute4"
"HDDM_W","   0.7835211","10",20,"attribute4"
"KSWIN","   0.7912890","19",20,"attribute4"
"PageHinkley","   0.7791174","3",20,"attribute4"
"DDM","   0.7904567","12",20,"attribute4"
"EDDM","   0.7925905","20",20,"attribute4"
"PDD","   0.7676476","0",20,"attribute4"
"Base Test","   0.8337912","0",20,"attribute4"
"Base Train","   0.9996556","0",20,"attribute4"
"batch sizes","2904.0000000","727",20,"attribute4"
"HDDM_A","   0.7765739","3",30,"attribute2"
"HDDM_W","   0.7821048","9",30,"attribute2"
"KSWIN","   0.7940210","28",30,"attribute2"
"PageHinkley","   0.7771509","3",30,"attribute2"
"DDM","   0.7831697","11",30,"attribute2"
"EDDM","   0.7951052","30",30,"attribute2"
"PDD","   0.7886283","16",30,"attribute2"
"Base Test","   0.8153846","0",30,"attribute2"
"Base Train","   0.9995181","0",30,"attribute2"
"batch sizes","2075.0000000","519",30,"attribute2"
