"Model","Mean_Accuracy","Drift_Count","Batch","most_important"
"HDDM_A","  0.9294118","0",10,"V26"
"HDDM_W","  0.9294118","0",10,"V26"
"KSWIN","  0.9395722","3",10,"V26"
"PageHinkley","  0.9294118","0",10,"V26"
"DDM","  0.9406417","4",10,"V26"
"EDDM","  0.9395722","2",10,"V26"
"PDD","  0.9352941","1",10,"V26"
"Base Test","  0.9647059","0",10,"V26"
"Base Train","  0.9525926","0",10,"V26"
"batch sizes","675.0000000","169",10,"V26"
"HDDM_A","  0.8941748","2",20,"V52"
"HDDM_W","  0.8907127","1",20,"V52"
"KSWIN","  0.9164408","2",20,"V52"
"PageHinkley","  0.8501654","0",20,"V52"
"DDM","  0.9155340","6",20,"V52"
"EDDM","  0.9183186","4",20,"V52"
"PDD","  0.8984157","2",20,"V52"
"Base Test","  0.8155340","0",20,"V52"
"Base Train","  1.0000000","0",20,"V52"
"batch sizes","404.0000000","102",20,"V52"
"HDDM_A","  0.8115830","0",30,"V52"
"HDDM_W","  0.8525740","1",30,"V52"
"KSWIN","  0.9144144","5",30,"V52"
"PageHinkley","  0.8115830","0",30,"V52"
"DDM","  0.8705759","2",30,"V52"
"EDDM","  0.8842342","6",30,"V52"
"PDD","  0.8723777","2",30,"V52"
"Base Test","  0.9054054","0",30,"V52"
"Base Train","  1.0000000","0",30,"V52"
"batch sizes","289.0000000","73",30,"V52"
