"Model","Mean_Accuracy","Drift_Count","Batch","most_important"
"HDDM_A","    0.8264138","1",10,"V2"
"HDDM_W","    0.8258122","3",10,"V2"
"KSWIN","    0.8266536","10",10,"V2"
"PageHinkley","    0.8298011","1",10,"V2"
"DDM","    0.8266810","0",10,"V2"
"EDDM","    0.8266536","10",10,"V2"
"PDD","    0.8263539","4",10,"V2"
"Base Test","    0.8536732","0",10,"V2"
"Base Train","    0.9990999","0",10,"V2"
"batch sizes","13332.0000000","3334",10,"V2"
"HDDM_A","   0.8431974","2",20,"V2"
"HDDM_W","   0.8411509","4",20,"V2"
"KSWIN","   0.8425311","20",20,"V2"
"PageHinkley","   0.8412460","3",20,"V2"
"DDM","   0.8429357","3",20,"V2"
"EDDM","   0.8425549","19",20,"V2"
"PDD","   0.8429119","4",20,"V2"
"Base Test","   0.8895552","0",20,"V2"
"Base Train","   0.9988750","0",20,"V2"
"batch sizes","8000.0000000","2000",20,"V2"
"HDDM_A","   0.8384039","2",30,"V2"
"HDDM_W","   0.8360222","3",30,"V2"
"KSWIN","   0.8383838","29",30,"V2"
"PageHinkley","   0.8393379","3",30,"V2"
"DDM","   0.8378698","3",30,"V2"
"EDDM","   0.8392463","13",30,"V2"
"PDD","   0.8371902","12",30,"V2"
"Base Test","   0.9006993","0",30,"V2"
"Base Train","   0.9991248","0",30,"V2"
"batch sizes","5713.0000000","1429",30,"V2"
