"Model","Mean_Accuracy","Drift_Count","Batch","most_important","Model"
"KSWIN","   2.802900","10",10,"feature_4","Linear R."
"PageHinkley","   2.802279","5",10,"feature_4","Linear R."
"PDD","   2.804143","3",10,"feature_4","Linear R."
"Base Test","   2.643223","0",10,"feature_4","Linear R."
"Base Train","   2.592646","0",10,"feature_4","Linear R."
"batch sizes","5332.000000","1334",10,"feature_4","Linear R."
"KSWIN","   2.800709","19",20,"feature_4","Linear R."
"PageHinkley","   2.797390","10",20,"feature_4","Linear R."
"PDD","   2.807288","2",20,"feature_4","Linear R."
"Base Test","   2.559085","0",20,"feature_4","Linear R."
"Base Train","   2.557912","0",20,"feature_4","Linear R."
"batch sizes","3200.000000","800",20,"feature_4","Linear R."
"KSWIN","   2.790632","30",30,"feature_4","Linear R."
"PageHinkley","   2.781162","9",30,"feature_4","Linear R."
"PDD","   2.799849","1",30,"feature_4","Linear R."
"Base Test","   2.595838","0",30,"feature_4","Linear R."
"Base Train","   2.546311","0",30,"feature_4","Linear R."
"batch sizes","2285.000000","572",30,"feature_4","Linear R."
"KSWIN","   3.297707","10",10,"feature_4","DT"
"PageHinkley","   3.325403","9",10,"feature_4","DT"
"PDD","   3.301448","3",10,"feature_4","DT"
"Base Test","   3.025395","0",10,"feature_4","DT"
"Base Train","   2.984331","0",10,"feature_4","DT"
"batch sizes","5332.000000","1334",10,"feature_4","DT"
"KSWIN","   3.276538","19",20,"feature_4","DT"
"PageHinkley","   3.281308","16",20,"feature_4","DT"
"PDD","   3.293577","2",20,"feature_4","DT"
"Base Test","   3.157366","0",20,"feature_4","DT"
"Base Train","   2.920401","0",20,"feature_4","DT"
"batch sizes","3200.000000","800",20,"feature_4","DT"
"KSWIN","   3.292062","23",30,"feature_4","DT"
"PageHinkley","   3.275241","16",30,"feature_4","DT"
"PDD","   3.267043","2",30,"feature_4","DT"
"Base Test","   3.040048","0",30,"feature_4","DT"
"Base Train","   2.974407","0",30,"feature_4","DT"
"batch sizes","2285.000000","572",30,"feature_4","DT"
"KSWIN","   1.902115","10",10,"feature_4","RF"
"PageHinkley","   1.961292","2",10,"feature_4","RF"
"PDD","   1.988748","7",10,"feature_4","RF"
"Base Test","   1.639532","0",10,"feature_4","RF"
"Base Train","   0.727523","0",10,"feature_4","RF"
"batch sizes","5332.000000","1334",10,"feature_4","RF"
"KSWIN","   1.9280388","19",20,"feature_4","RF"
"PageHinkley","   2.0565811","4",20,"feature_4","RF"
"PDD","   1.8811214","4",20,"feature_4","RF"
"Base Test","   1.7750984","0",20,"feature_4","RF"
"Base Train","   0.7659359","0",20,"feature_4","RF"
"batch sizes","3200.0000000","800",20,"feature_4","RF"
"KSWIN","   1.9320220","26",30,"feature_4","RF"
"PageHinkley","   2.0115174","7",30,"feature_4","RF"
"PDD","   1.9354976","11",30,"feature_4","RF"
"Base Test","   1.7454171","0",30,"feature_4","RF"
"Base Train","   0.8102133","0",30,"feature_4","RF"
"batch sizes","2285.0000000","572",30,"feature_4","RF"
