"Model","Mean_Accuracy","Drift_Count","Batch","most_important","Model"
"HDDM_A","  0.9294118","0",10,"V26","LR"
"HDDM_W","  0.9294118","0",10,"V26","LR"
"KSWIN","  0.9395722","3",10,"V26","LR"
"PageHinkley","  0.9294118","0",10,"V26","LR"
"DDM","  0.9406417","4",10,"V26","LR"
"EDDM","  0.9395722","2",10,"V26","LR"
"PDD","  0.9352941","1",10,"V26","LR"
"Base Test","  0.9647059","0",10,"V26","LR"
"Base Train","  0.9525926","0",10,"V26","LR"
"batch sizes","675.0000000","169",10,"V26","LR"
"HDDM_A","  0.8941748","2",20,"V52","LR"
"HDDM_W","  0.8907127","1",20,"V52","LR"
"KSWIN","  0.9164408","2",20,"V52","LR"
"PageHinkley","  0.8501654","0",20,"V52","LR"
"DDM","  0.9155340","6",20,"V52","LR"
"EDDM","  0.9183186","4",20,"V52","LR"
"PDD","  0.8984157","2",20,"V52","LR"
"Base Test","  0.8155340","0",20,"V52","LR"
"Base Train","  1.0000000","0",20,"V52","LR"
"batch sizes","404.0000000","102",20,"V52","LR"
"HDDM_A","  0.8115830","0",30,"V52","LR"
"HDDM_W","  0.8525740","1",30,"V52","LR"
"KSWIN","  0.9144144","5",30,"V52","LR"
"PageHinkley","  0.8115830","0",30,"V52","LR"
"DDM","  0.8705759","2",30,"V52","LR"
"EDDM","  0.8842342","6",30,"V52","LR"
"PDD","  0.8723777","2",30,"V52","LR"
"Base Test","  0.9054054","0",30,"V52","LR"
"Base Train","  1.0000000","0",30,"V52","LR"
"batch sizes","289.0000000","73",30,"V52","LR"
"HDDM_A","  0.9486631","0",10,"V31","DT"
"HDDM_W","  0.9486631","0",10,"V31","DT"
"KSWIN","  0.9443850","3",10,"V31","DT"
"PageHinkley","  0.9486631","0",10,"V31","DT"
"DDM","  0.9358289","7",10,"V31","DT"
"EDDM","  0.9411765","2",10,"V31","DT"
"PDD","  0.9486631","0",10,"V31","DT"
"Base Test","  0.9882353","0",10,"V31","DT"
"Base Train","  0.9511111","0",10,"V31","DT"
"batch sizes","675.0000000","169",10,"V31","DT"
"HDDM_A","  0.9100661","1",20,"V36","DT"
"HDDM_W","  0.9100661","1",20,"V36","DT"
"KSWIN","  0.9242078","4",20,"V36","DT"
"PageHinkley","  0.8910701","0",20,"V36","DT"
"DDM","  0.9300971","6",20,"V36","DT"
"EDDM","  0.9164408","4",20,"V36","DT"
"PDD","  0.8914915","1",20,"V36","DT"
"Base Test","  0.8543689","0",20,"V36","DT"
"Base Train","  0.9554455","0",20,"V36","DT"
"batch sizes","404.0000000","102",20,"V36","DT"
"HDDM_A","  0.9036036","2",30,"V36","DT"
"HDDM_W","  0.9121622","2",30,"V36","DT"
"KSWIN","  0.9099099","5",30,"V36","DT"
"PageHinkley","  0.8725225","0",30,"V36","DT"
"DDM","  0.9328829","4",30,"V36","DT"
"EDDM","  0.9184685","5",30,"V36","DT"
"PDD","  0.9139640","10",30,"V36","DT"
"Base Test","  0.9729730","0",30,"V36","DT"
"Base Train","  0.9307958","0",30,"V36","DT"
"batch sizes","289.0000000","73",30,"V36","DT"
"HDDM_A","  0.9508021","0",10,"V56","RF"
"HDDM_W","  0.9508021","0",10,"V56","RF"
"KSWIN","  0.9529412","1",10,"V56","RF"
"PageHinkley","  0.9508021","0",10,"V56","RF"
"DDM","  0.9513369","2",10,"V56","RF"
"EDDM","  0.9524064","2",10,"V56","RF"
"PDD","  0.9508021","5",10,"V56","RF"
"Base Test","  0.9941176","0",10,"V56","RF"
"Base Train","  1.0000000","0",10,"V56","RF"
"batch sizes","675.0000000","169",10,"V56","RF"
"HDDM_A","  0.9427184","1",20,"V61","RF"
"HDDM_W","  0.9427184","1",20,"V61","RF"
"KSWIN","  0.9382855","4",20,"V61","RF"
"PageHinkley","  0.9421690","0",20,"V61","RF"
"DDM","  0.9427184","2",20,"V61","RF"
"EDDM","  0.9441107","3",20,"V61","RF"
"PDD","  0.9421690","0",20,"V61","RF"
"Base Test","  0.9805825","0",20,"V61","RF"
"Base Train","  1.0000000","0",20,"V61","RF"
"batch sizes","404.0000000","102",20,"V61","RF"
"HDDM_A","  0.9373874","0",30,"V61","RF"
"HDDM_W","  0.9400901","1",30,"V61","RF"
"KSWIN","  0.9436937","3",30,"V61","RF"
"PageHinkley","  0.9373874","0",30,"V61","RF"
"DDM","  0.9436937","3",30,"V61","RF"
"EDDM","  0.9436937","3",30,"V61","RF"
"PDD","  0.9454955","12",30,"V61","RF"
"Base Test","  1.0000000","0",30,"V61","RF"
"Base Train","  1.0000000","0",30,"V61","RF"
"batch sizes","289.0000000","73",30,"V61","RF"
