"Model","Mean_Accuracy","Drift_Count","Batch","most_important","Model"
"HDDM_A","    0.8306437","1",10,"V2","LR"
"HDDM_W","    0.8279422","3",10,"V2","LR"
"KSWIN","    0.8292327","10",10,"V2","LR"
"PageHinkley","    0.8337011","1",10,"V2","LR"
"DDM","    0.8283908","0",10,"V2","LR"
"EDDM","    0.8292327","10",10,"V2","LR"
"PDD","    0.8309120","5",10,"V2","LR"
"Base Test","    0.8578711","0",10,"V2","LR"
"Base Train","    0.8965647","0",10,"V2","LR"
"batch sizes","13332.0000000","3334",10,"V2","LR"
"HDDM_A","   0.8462197","2",20,"V2","LR"
"HDDM_W","   0.8442921","2",20,"V2","LR"
"KSWIN","   0.8454820","20",20,"V2","LR"
"PageHinkley","   0.8446729","3",20,"V2","LR"
"DDM","   0.8459580","3",20,"V2","LR"
"EDDM","   0.8454820","20",20,"V2","LR"
"PDD","   0.8463625","18",20,"V2","LR"
"Base Test","   0.8945527","0",20,"V2","LR"
"Base Train","   0.9032500","0",20,"V2","LR"
"batch sizes","8000.0000000","2000",20,"V2","LR"
"HDDM_A","   0.8446773","2",30,"V2","LR"
"HDDM_W","   0.8407363","2",30,"V2","LR"
"KSWIN","   0.8427915","27",30,"V2","LR"
"PageHinkley","   0.8437423","3",30,"V2","LR"
"DDM","   0.8426252","5",30,"V2","LR"
"EDDM","   0.8381424","12",30,"V2","LR"
"PDD","   0.8370456","1",30,"V2","LR"
"Base Test","   0.9006993","0",30,"V2","LR"
"Base Train","   0.9056538","0",30,"V2","LR"
"batch sizes","5713.0000000","1429",30,"V2","LR"
"HDDM_A","    0.8318130","2",10,"V1","DT"
"HDDM_W","    0.8247935","3",10,"V1","DT"
"KSWIN","    0.8293535","10",10,"V1","DT"
"PageHinkley","    0.8307314","1",10,"V1","DT"
"DDM","    0.8267106","0",10,"V1","DT"
"EDDM","    0.8290534","9",10,"V1","DT"
"PDD","    0.8230216","1",10,"V1","DT"
"Base Test","    0.8575712","0",10,"V1","DT"
"Base Train","    0.8800630","0",10,"V1","DT"
"batch sizes","13332.0000000","3334",10,"V1","DT"
"HDDM_A","   0.8399610","2",20,"V1","DT"
"HDDM_W","   0.8389139","2",20,"V1","DT"
"KSWIN","   0.8440066","20",20,"V1","DT"
"PageHinkley","   0.8424359","3",20,"V1","DT"
"DDM","   0.8432212","1",20,"V1","DT"
"EDDM","   0.8435306","18",20,"V1","DT"
"PDD","   0.8404607","3",20,"V1","DT"
"Base Test","   0.8695652","0",20,"V1","DT"
"Base Train","   0.8850000","0",20,"V1","DT"
"batch sizes","8000.0000000","2000",20,"V1","DT"
"HDDM_A","   0.8357940","2",30,"V1","DT"
"HDDM_W","   0.8354210","2",30,"V1","DT"
"KSWIN","   0.8376369","29",30,"V1","DT"
"PageHinkley","   0.8367515","3",30,"V1","DT"
"DDM","   0.8356263","3",30,"V1","DT"
"EDDM","   0.8340458","8",30,"V1","DT"
"PDD","   0.8349313","8",30,"V1","DT"
"Base Test","   0.8797203","0",30,"V1","DT"
"Base Train","   0.8849991","0",30,"V1","DT"
"batch sizes","5713.0000000","1429",30,"V1","DT"
"HDDM_A","    0.8264138","1",10,"V2","RF"
"HDDM_W","    0.8256921","3",10,"V2","RF"
"KSWIN","    0.8268334","10",10,"V2","RF"
"PageHinkley","    0.8298011","1",10,"V2","RF"
"DDM","    0.8266810","0",10,"V2","RF"
"EDDM","    0.8268334","10",10,"V2","RF"
"PDD","    0.8283324","5",10,"V2","RF"
"Base Test","    0.8536732","0",10,"V2","RF"
"Base Train","    0.9990999","0",10,"V2","RF"
"batch sizes","13332.0000000","3334",10,"V2","RF"
"HDDM_A","   0.8431974","2",20,"V2","RF"
"HDDM_W","   0.8411509","4",20,"V2","RF"
"KSWIN","   0.8421266","20",20,"V2","RF"
"PageHinkley","   0.8416982","3",20,"V2","RF"
"DDM","   0.8429595","3",20,"V2","RF"
"EDDM","   0.8423169","19",20,"V2","RF"
"PDD","   0.8426739","8",20,"V2","RF"
"Base Test","   0.8895552","0",20,"V2","RF"
"Base Train","   0.9988750","0",20,"V2","RF"
"batch sizes","8000.0000000","2000",20,"V2","RF"
"HDDM_A","   0.8384039","2",30,"V2","RF"
"HDDM_W","   0.8361620","3",30,"V2","RF"
"KSWIN","   0.8387342","29",30,"V2","RF"
"PageHinkley","   0.8393379","3",30,"V2","RF"
"DDM","   0.8378698","3",30,"V2","RF"
"EDDM","   0.8389654","13",30,"V2","RF"
"PDD","   0.8376825","18",30,"V2","RF"
"Base Test","   0.9006993","0",30,"V2","RF"
"Base Train","   0.9991248","0",30,"V2","RF"
"batch sizes","5713.0000000","1429",30,"V2","RF"
