"Model","Mean_Accuracy","Drift_Count","Batch","most_important"
"HDDM_A","    0.7029278","10",10,"nswprice"
"HDDM_W","    0.7029278","10",10,"nswprice"
"KSWIN","    0.7029278","10",10,"nswprice"
"PageHinkley","    0.6991868","8",10,"nswprice"
"DDM","    0.7029278","10",10,"nswprice"
"EDDM","    0.7029278","10",10,"nswprice"
"PDD","    0.7093132","3",10,"nswprice"
"Base Test","    0.8107214","0",10,"nswprice"
"Base Train","    0.8424232","0",10,"nswprice"
"batch sizes","12083.0000000","3021",10,"nswprice"
"HDDM_A","   0.7243218","20",20,"nswprice"
"HDDM_W","   0.7243218","20",20,"nswprice"
"KSWIN","   0.7243218","20",20,"nswprice"
"PageHinkley","   0.7102784","11",20,"nswprice"
"DDM","   0.7249868","16",20,"nswprice"
"EDDM","   0.7243218","20",20,"nswprice"
"PDD","   0.7311154","0",20,"nswprice"
"Base Test","   0.8142227","0",20,"nswprice"
"Base Train","   0.8366671","0",20,"nswprice"
"batch sizes","7249.0000000","1813",20,"nswprice"
"HDDM_A","   0.7373812","30",30,"nswprice"
"HDDM_W","   0.7373812","30",30,"nswprice"
"KSWIN","   0.7373812","30",30,"nswprice"
"PageHinkley","   0.7368386","16",30,"nswprice"
"DDM","   0.7253030","17",30,"nswprice"
"EDDM","   0.7373812","30",30,"nswprice"
"PDD","   0.7449291","3",30,"nswprice"
"Base Test","   0.8040123","0",30,"nswprice"
"Base Train","   0.8418308","0",30,"nswprice"
"batch sizes","5178.0000000","1295",30,"nswprice"
