"Model","Mean_Accuracy","Drift_Count","Batch","most_important"
"KSWIN","   3.297707","10",10,"feature_4"
"PageHinkley","   3.325403","9",10,"feature_4"
"PDD","   3.301448","3",10,"feature_4"
"Base Test","   3.025395","0",10,"feature_4"
"Base Train","   2.984331","0",10,"feature_4"
"batch sizes","5332.000000","1334",10,"feature_4"
"KSWIN","   3.276538","19",20,"feature_4"
"PageHinkley","   3.281308","16",20,"feature_4"
"PDD","   3.293577","2",20,"feature_4"
"Base Test","   3.157366","0",20,"feature_4"
"Base Train","   2.920401","0",20,"feature_4"
"batch sizes","3200.000000","800",20,"feature_4"
"KSWIN","   3.292062","23",30,"feature_4"
"PageHinkley","   3.275241","16",30,"feature_4"
"PDD","   3.267043","2",30,"feature_4"
"Base Test","   3.040048","0",30,"feature_4"
"Base Train","   2.974407","0",30,"feature_4"
"batch sizes","2285.000000","572",30,"feature_4"
