"Model","Mean_Accuracy","Drift_Count","Batch","most_important"
"KSWIN","   1.902115","10",10,"feature_4"
"PageHinkley","   1.961292","2",10,"feature_4"
"PDD","   1.988748","7",10,"feature_4"
"Base Test","   1.639532","0",10,"feature_4"
"Base Train","   0.727523","0",10,"feature_4"
"batch sizes","5332.000000","1334",10,"feature_4"
"KSWIN","   1.9280388","19",20,"feature_4"
"PageHinkley","   2.0565811","4",20,"feature_4"
"PDD","   1.8811214","4",20,"feature_4"
"Base Test","   1.7750984","0",20,"feature_4"
"Base Train","   0.7659359","0",20,"feature_4"
"batch sizes","3200.0000000","800",20,"feature_4"
"KSWIN","   1.9320220","26",30,"feature_4"
"PageHinkley","   2.0115174","7",30,"feature_4"
"PDD","   1.9354976","11",30,"feature_4"
"Base Test","   1.7454171","0",30,"feature_4"
"Base Train","   0.8102133","0",30,"feature_4"
"batch sizes","2285.0000000","572",30,"feature_4"
