"Model","Mean_Accuracy","Drift_Count","Batch","most_important"
"HDDM_A","   0.7790473","0",10,"attribute2"
"HDDM_W","   0.7882885","4",10,"attribute2"
"KSWIN","   0.7915853","10",10,"attribute2"
"PageHinkley","   0.7868801","3",10,"attribute2"
"DDM","   0.7817690","1",10,"attribute2"
"EDDM","   0.7915853","10",10,"attribute2"
"PDD","   0.7881202","5",10,"attribute2"
"Base Test","   0.7722772","0",10,"attribute2"
"Base Train","   0.9995869","0",10,"attribute2"
"batch sizes","4842.0000000","1211",10,"attribute2"
"HDDM_A","   0.7783025","4",20,"attribute4"
"HDDM_W","   0.7835211","10",20,"attribute4"
"KSWIN","   0.7915637","19",20,"attribute4"
"PageHinkley","   0.7798181","3",20,"attribute4"
"DDM","   0.7913542","20",20,"attribute4"
"EDDM","   0.7913542","20",20,"attribute4"
"PDD","   0.7676476","0",20,"attribute4"
"Base Test","   0.8337912","0",20,"attribute4"
"Base Train","   0.9996556","0",20,"attribute4"
"batch sizes","2904.0000000","727",20,"attribute4"
"HDDM_A","   0.7779941","2",30,"attribute2"
"HDDM_W","   0.7826164","9",30,"attribute2"
"KSWIN","   0.7945357","29",30,"attribute2"
"PageHinkley","   0.7771509","3",30,"attribute2"
"DDM","   0.7831205","8",30,"attribute2"
"EDDM","   0.7940154","30",30,"attribute2"
"PDD","   0.7912740","22",30,"attribute2"
"Base Test","   0.8153846","0",30,"attribute2"
"Base Train","   0.9995181","0",30,"attribute2"
"batch sizes","2075.0000000","519",30,"attribute2"
