"Model","Mean_Accuracy","Drift_Count","Batch","most_important"
"HDDM_A","    0.8318130","2",10,"V1"
"HDDM_W","    0.8247935","3",10,"V1"
"KSWIN","    0.8293535","10",10,"V1"
"PageHinkley","    0.8307314","1",10,"V1"
"DDM","    0.8267106","0",10,"V1"
"EDDM","    0.8290534","9",10,"V1"
"PDD","    0.8230216","1",10,"V1"
"Base Test","    0.8575712","0",10,"V1"
"Base Train","    0.8800630","0",10,"V1"
"batch sizes","13332.0000000","3334",10,"V1"
"HDDM_A","   0.8399610","2",20,"V1"
"HDDM_W","   0.8389139","2",20,"V1"
"KSWIN","   0.8440066","20",20,"V1"
"PageHinkley","   0.8424359","3",20,"V1"
"DDM","   0.8432212","1",20,"V1"
"EDDM","   0.8435306","18",20,"V1"
"PDD","   0.8404607","3",20,"V1"
"Base Test","   0.8695652","0",20,"V1"
"Base Train","   0.8850000","0",20,"V1"
"batch sizes","8000.0000000","2000",20,"V1"
"HDDM_A","   0.8357940","2",30,"V1"
"HDDM_W","   0.8354210","2",30,"V1"
"KSWIN","   0.8376369","29",30,"V1"
"PageHinkley","   0.8367515","3",30,"V1"
"DDM","   0.8356263","3",30,"V1"
"EDDM","   0.8340458","8",30,"V1"
"PDD","   0.8349313","8",30,"V1"
"Base Test","   0.8797203","0",30,"V1"
"Base Train","   0.8849991","0",30,"V1"
"batch sizes","5713.0000000","1429",30,"V1"
