"Model","Mean_Accuracy","Drift_Count","Batch","most_important"
"HDDM_A","    0.8306437","1",10,"V2"
"HDDM_W","    0.8279422","3",10,"V2"
"KSWIN","    0.8292327","10",10,"V2"
"PageHinkley","    0.8337011","1",10,"V2"
"DDM","    0.8283908","0",10,"V2"
"EDDM","    0.8292327","10",10,"V2"
"PDD","    0.8309120","5",10,"V2"
"Base Test","    0.8578711","0",10,"V2"
"Base Train","    0.8965647","0",10,"V2"
"batch sizes","13332.0000000","3334",10,"V2"
"HDDM_A","   0.8462197","2",20,"V2"
"HDDM_W","   0.8442921","2",20,"V2"
"KSWIN","   0.8454820","20",20,"V2"
"PageHinkley","   0.8446729","3",20,"V2"
"DDM","   0.8459580","3",20,"V2"
"EDDM","   0.8454820","20",20,"V2"
"PDD","   0.8463625","18",20,"V2"
"Base Test","   0.8945527","0",20,"V2"
"Base Train","   0.9032500","0",20,"V2"
"batch sizes","8000.0000000","2000",20,"V2"
"HDDM_A","   0.8446773","2",30,"V2"
"HDDM_W","   0.8407363","2",30,"V2"
"KSWIN","   0.8427915","27",30,"V2"
"PageHinkley","   0.8437423","3",30,"V2"
"DDM","   0.8426252","5",30,"V2"
"EDDM","   0.8381424","12",30,"V2"
"PDD","   0.8370456","1",30,"V2"
"Base Test","   0.9006993","0",30,"V2"
"Base Train","   0.9056538","0",30,"V2"
"batch sizes","5713.0000000","1429",30,"V2"
