"Model","Mean_Accuracy","Drift_Count","Batch","most_important"
"HDDM_A","    0.8264138","1",10,"V2"
"HDDM_W","    0.8256921","3",10,"V2"
"KSWIN","    0.8268334","10",10,"V2"
"PageHinkley","    0.8298011","1",10,"V2"
"DDM","    0.8266810","0",10,"V2"
"EDDM","    0.8268334","10",10,"V2"
"PDD","    0.8283324","5",10,"V2"
"Base Test","    0.8536732","0",10,"V2"
"Base Train","    0.9990999","0",10,"V2"
"batch sizes","13332.0000000","3334",10,"V2"
"HDDM_A","   0.8431974","2",20,"V2"
"HDDM_W","   0.8411509","4",20,"V2"
"KSWIN","   0.8421266","20",20,"V2"
"PageHinkley","   0.8416982","3",20,"V2"
"DDM","   0.8429595","3",20,"V2"
"EDDM","   0.8423169","19",20,"V2"
"PDD","   0.8426739","8",20,"V2"
"Base Test","   0.8895552","0",20,"V2"
"Base Train","   0.9988750","0",20,"V2"
"batch sizes","8000.0000000","2000",20,"V2"
"HDDM_A","   0.8384039","2",30,"V2"
"HDDM_W","   0.8361620","3",30,"V2"
"KSWIN","   0.8387342","29",30,"V2"
"PageHinkley","   0.8393379","3",30,"V2"
"DDM","   0.8378698","3",30,"V2"
"EDDM","   0.8389654","13",30,"V2"
"PDD","   0.8376825","18",30,"V2"
"Base Test","   0.9006993","0",30,"V2"
"Base Train","   0.9991248","0",30,"V2"
"batch sizes","5713.0000000","1429",30,"V2"
