"Model","Mean_Accuracy","Drift_Count","Batch","most_important","Model"
"HDDM_A","    0.6982657","10",10,"nswprice","LR"
"HDDM_W","    0.6982657","10",10,"nswprice","LR"
"KSWIN","    0.6982657","10",10,"nswprice","LR"
"PageHinkley","    0.6982657","10",10,"nswprice","LR"
"DDM","    0.6982657","10",10,"nswprice","LR"
"EDDM","    0.6982657","10",10,"nswprice","LR"
"PDD","    0.6740020","8",10,"nswprice","LR"
"Base Test","    0.8153541","0",10,"nswprice","LR"
"Base Train","    0.8199950","0",10,"nswprice","LR"
"batch sizes","12083.0000000","3021",10,"nswprice","LR"
"HDDM_A","   0.6836141","20",20,"nswprice","LR"
"HDDM_W","   0.6836141","20",20,"nswprice","LR"
"KSWIN","   0.6836141","20",20,"nswprice","LR"
"PageHinkley","   0.7341737","13",20,"nswprice","LR"
"DDM","   0.6836141","20",20,"nswprice","LR"
"EDDM","   0.6836141","20",20,"nswprice","LR"
"PDD","   0.7349473","4",20,"nswprice","LR"
"Base Test","   0.8042999","0",20,"nswprice","LR"
"Base Train","   0.8081115","0",20,"nswprice","LR"
"batch sizes","7249.0000000","1813",20,"nswprice","LR"
"HDDM_A","   0.7099317","30",30,"nswprice","LR"
"HDDM_W","   0.7099317","30",30,"nswprice","LR"
"KSWIN","   0.7099317","30",30,"nswprice","LR"
"PageHinkley","   0.7390381","16",30,"nswprice","LR"
"DDM","   0.7099317","30",30,"nswprice","LR"
"EDDM","   0.7099317","30",30,"nswprice","LR"
"PDD","   0.7401706","12",30,"nswprice","LR"
"Base Test","   0.8155864","0",30,"nswprice","LR"
"Base Train","   0.8188490","0",30,"nswprice","LR"
"batch sizes","5178.0000000","1295",30,"nswprice","LR"
"HDDM_A","    0.7254673","10",10,"nswprice","DT"
"HDDM_W","    0.7254673","10",10,"nswprice","DT"
"KSWIN","    0.7254673","10",10,"nswprice","DT"
"PageHinkley","    0.7214607","9",10,"nswprice","DT"
"DDM","    0.7254673","10",10,"nswprice","DT"
"EDDM","    0.7254673","10",10,"nswprice","DT"
"PDD","    0.7252687","1",10,"nswprice","DT"
"Base Test","    0.7954997","0",10,"nswprice","DT"
"Base Train","    0.8263676","0",10,"nswprice","DT"
"batch sizes","12083.0000000","3021",10,"nswprice","DT"
"HDDM_A","   0.7408734","20",20,"nswprice","DT"
"HDDM_W","   0.7408734","20",20,"nswprice","DT"
"KSWIN","   0.7408734","20",20,"nswprice","DT"
"PageHinkley","   0.7417481","15",20,"nswprice","DT"
"DDM","   0.7408734","20",20,"nswprice","DT"
"EDDM","   0.7408734","20",20,"nswprice","DT"
"PDD","   0.7391925","1",20,"nswprice","DT"
"Base Test","   0.8649394","0",20,"nswprice","DT"
"Base Train","   0.8238378","0",20,"nswprice","DT"
"batch sizes","7249.0000000","1813",20,"nswprice","DT"
"HDDM_A","   0.7449803","30",30,"nswprice","DT"
"HDDM_W","   0.7449803","30",30,"nswprice","DT"
"KSWIN","   0.7449803","30",30,"nswprice","DT"
"PageHinkley","   0.7502272","16",30,"nswprice","DT"
"DDM","   0.7449803","30",30,"nswprice","DT"
"EDDM","   0.7449803","30",30,"nswprice","DT"
"PDD","   0.7428713","5",30,"nswprice","DT"
"Base Test","   0.8024691","0",30,"nswprice","DT"
"Base Train","   0.8315952","0",30,"nswprice","DT"
"batch sizes","5178.0000000","1295",30,"nswprice","DT"
"HDDM_A","    0.7029278","10",10,"nswprice","RF"
"HDDM_W","    0.7029278","10",10,"nswprice","RF"
"KSWIN","    0.7029278","10",10,"nswprice","RF"
"PageHinkley","    0.6991868","8",10,"nswprice","RF"
"DDM","    0.7029278","10",10,"nswprice","RF"
"EDDM","    0.7029278","10",10,"nswprice","RF"
"PDD","    0.7093132","3",10,"nswprice","RF"
"Base Test","    0.8107214","0",10,"nswprice","RF"
"Base Train","    0.8424232","0",10,"nswprice","RF"
"batch sizes","12083.0000000","3021",10,"nswprice","RF"
"HDDM_A","   0.7243218","20",20,"nswprice","RF"
"HDDM_W","   0.7243218","20",20,"nswprice","RF"
"KSWIN","   0.7243218","20",20,"nswprice","RF"
"PageHinkley","   0.7102784","11",20,"nswprice","RF"
"DDM","   0.7249868","16",20,"nswprice","RF"
"EDDM","   0.7243218","20",20,"nswprice","RF"
"PDD","   0.7311154","0",20,"nswprice","RF"
"Base Test","   0.8142227","0",20,"nswprice","RF"
"Base Train","   0.8366671","0",20,"nswprice","RF"
"batch sizes","7249.0000000","1813",20,"nswprice","RF"
"HDDM_A","   0.7373812","30",30,"nswprice","RF"
"HDDM_W","   0.7373812","30",30,"nswprice","RF"
"KSWIN","   0.7373812","30",30,"nswprice","RF"
"PageHinkley","   0.7368386","16",30,"nswprice","RF"
"DDM","   0.7253030","17",30,"nswprice","RF"
"EDDM","   0.7373812","30",30,"nswprice","RF"
"PDD","   0.7449291","3",30,"nswprice","RF"
"Base Test","   0.8040123","0",30,"nswprice","RF"
"Base Train","   0.8418308","0",30,"nswprice","RF"
"batch sizes","5178.0000000","1295",30,"nswprice","RF"
