"Model","Mean_Accuracy","Drift_Count","Batch","most_important","Model"
"HDDM_A","   0.7735927","5",10,"attribute1","LR"
"HDDM_W","   0.7735944","7",10,"attribute1","LR"
"KSWIN","   0.7754929","10",10,"attribute1","LR"
"PageHinkley","   0.7707049","3",10,"attribute1","LR"
"DDM","   0.7716114","4",10,"attribute1","LR"
"EDDM","   0.7754929","10",10,"attribute1","LR"
"PDD","   0.7649272","0",10,"attribute1","LR"
"Base Test","   0.7747525","0",10,"attribute1","LR"
"Base Train","   0.7998761","0",10,"attribute1","LR"
"batch sizes","4842.0000000","1211",10,"attribute1","LR"
"HDDM_A","   0.7696360","7",20,"attribute4","LR"
"HDDM_W","   0.7712156","12",20,"attribute4","LR"
"KSWIN","   0.7755471","20",20,"attribute4","LR"
"PageHinkley","   0.7680459","3",20,"attribute4","LR"
"DDM","   0.7746462","10",20,"attribute4","LR"
"EDDM","   0.7755471","20",20,"attribute4","LR"
"PDD","   0.7694195","2",20,"attribute4","LR"
"Base Test","   0.8118132","0",20,"attribute4","LR"
"Base Train","   0.8040634","0",20,"attribute4","LR"
"batch sizes","2904.0000000","727",20,"attribute4","LR"
"HDDM_A","   0.7776842","3",30,"attribute1","LR"
"HDDM_W","   0.7798662","12",30,"attribute1","LR"
"KSWIN","   0.7787765","27",30,"attribute1","LR"
"PageHinkley","   0.7791636","3",30,"attribute1","LR"
"DDM","   0.7715273","10",30,"attribute1","LR"
"EDDM","   0.7780054","30",30,"attribute1","LR"
"PDD","   0.7708209","0",30,"attribute1","LR"
"Base Test","   0.8173077","0",30,"attribute1","LR"
"Base Train","   0.8014458","0",30,"attribute1","LR"
"batch sizes","2075.0000000","519",30,"attribute1","LR"
"HDDM_A","   0.7292541","8",10,"attribute2","DT"
"HDDM_W","   0.7385049","10",10,"attribute2","DT"
"KSWIN","   0.7385049","10",10,"attribute2","DT"
"PageHinkley","   0.7402392","2",10,"attribute2","DT"
"DDM","   0.7422289","3",10,"attribute2","DT"
"EDDM","   0.7385049","10",10,"attribute2","DT"
"PDD","   0.7264384","2",10,"attribute2","DT"
"Base Test","   0.7500000","0",10,"attribute2","DT"
"Base Train","   0.7881041","0",10,"attribute2","DT"
"batch sizes","4842.0000000","1211",10,"attribute2","DT"
"HDDM_A","   0.7434806","9",20,"attribute2","DT"
"HDDM_W","   0.7345429","16",20,"attribute2","DT"
"KSWIN","   0.7334355","20",20,"attribute2","DT"
"PageHinkley","   0.7386672","2",20,"attribute2","DT"
"DDM","   0.7334355","20",20,"attribute2","DT"
"EDDM","   0.7334355","20",20,"attribute2","DT"
"PDD","   0.7402549","0",20,"attribute2","DT"
"Base Test","   0.7733516","0",20,"attribute2","DT"
"Base Train","   0.7995868","0",20,"attribute2","DT"
"batch sizes","2904.0000000","727",20,"attribute2","DT"
"HDDM_A","   0.7439837","8",30,"attribute2","DT"
"HDDM_W","   0.7384983","23",30,"attribute2","DT"
"KSWIN","   0.7436675","29",30,"attribute2","DT"
"PageHinkley","   0.7276164","2",30,"attribute2","DT"
"DDM","   0.7398133","21",30,"attribute2","DT"
"EDDM","   0.7406149","30",30,"attribute2","DT"
"PDD","   0.7352029","3",30,"attribute2","DT"
"Base Test","   0.7807692","0",30,"attribute2","DT"
"Base Train","   0.7990361","0",30,"attribute2","DT"
"batch sizes","2075.0000000","519",30,"attribute2","DT"
"HDDM_A","   0.7790473","0",10,"attribute2","RF"
"HDDM_W","   0.7882885","4",10,"attribute2","RF"
"KSWIN","   0.7915853","10",10,"attribute2","RF"
"PageHinkley","   0.7868801","3",10,"attribute2","RF"
"DDM","   0.7817690","1",10,"attribute2","RF"
"EDDM","   0.7915853","10",10,"attribute2","RF"
"PDD","   0.7881202","5",10,"attribute2","RF"
"Base Test","   0.7722772","0",10,"attribute2","RF"
"Base Train","   0.9995869","0",10,"attribute2","RF"
"batch sizes","4842.0000000","1211",10,"attribute2","RF"
"HDDM_A","   0.7783025","4",20,"attribute4","RF"
"HDDM_W","   0.7835211","10",20,"attribute4","RF"
"KSWIN","   0.7915637","19",20,"attribute4","RF"
"PageHinkley","   0.7798181","3",20,"attribute4","RF"
"DDM","   0.7913542","20",20,"attribute4","RF"
"EDDM","   0.7913542","20",20,"attribute4","RF"
"PDD","   0.7676476","0",20,"attribute4","RF"
"Base Test","   0.8337912","0",20,"attribute4","RF"
"Base Train","   0.9996556","0",20,"attribute4","RF"
"batch sizes","2904.0000000","727",20,"attribute4","RF"
"HDDM_A","   0.7779941","2",30,"attribute2","RF"
"HDDM_W","   0.7826164","9",30,"attribute2","RF"
"KSWIN","   0.7945357","29",30,"attribute2","RF"
"PageHinkley","   0.7771509","3",30,"attribute2","RF"
"DDM","   0.7831205","8",30,"attribute2","RF"
"EDDM","   0.7940154","30",30,"attribute2","RF"
"PDD","   0.7912740","22",30,"attribute2","RF"
"Base Test","   0.8153846","0",30,"attribute2","RF"
"Base Train","   0.9995181","0",30,"attribute2","RF"
"batch sizes","2075.0000000","519",30,"attribute2","RF"
