"Model","Mean_Accuracy","Drift_Count","Batch","most_important"
"HDDM_A","   0.7292541","8",10,"attribute2"
"HDDM_W","   0.7385049","10",10,"attribute2"
"KSWIN","   0.7385049","10",10,"attribute2"
"PageHinkley","   0.7402392","2",10,"attribute2"
"DDM","   0.7422289","3",10,"attribute2"
"EDDM","   0.7385049","10",10,"attribute2"
"PDD","   0.7264384","2",10,"attribute2"
"Base Test","   0.7500000","0",10,"attribute2"
"Base Train","   0.7881041","0",10,"attribute2"
"batch sizes","4842.0000000","1211",10,"attribute2"
"HDDM_A","   0.7434806","9",20,"attribute2"
"HDDM_W","   0.7345429","16",20,"attribute2"
"KSWIN","   0.7334355","20",20,"attribute2"
"PageHinkley","   0.7386672","2",20,"attribute2"
"DDM","   0.7334355","20",20,"attribute2"
"EDDM","   0.7334355","20",20,"attribute2"
"PDD","   0.7402549","0",20,"attribute2"
"Base Test","   0.7733516","0",20,"attribute2"
"Base Train","   0.7995868","0",20,"attribute2"
"batch sizes","2904.0000000","727",20,"attribute2"
"HDDM_A","   0.7439837","8",30,"attribute2"
"HDDM_W","   0.7384983","23",30,"attribute2"
"KSWIN","   0.7436675","29",30,"attribute2"
"PageHinkley","   0.7276164","2",30,"attribute2"
"DDM","   0.7398133","21",30,"attribute2"
"EDDM","   0.7406149","30",30,"attribute2"
"PDD","   0.7352029","3",30,"attribute2"
"Base Test","   0.7807692","0",30,"attribute2"
"Base Train","   0.7990361","0",30,"attribute2"
"batch sizes","2075.0000000","519",30,"attribute2"
